cl_num,x,y
-1,0.4984439801,-0.33631012
-1,0.5096518211,-0.332977712
-1,0.4979835379,-0.3363697133
-1,0.5095440883,-0.3330181871
-1,0.5015815452,-0.3317685808
-1,0.4879922082,-0.4331073735
-1,0.4660974231,-0.4396523774
-1,0.1639583778,-0.3984037942
-1,0.2412777628,-0.276741926
-1,-0.0216589874,-0.4016925813
-1,0.014863408,-0.407969273
-1,0.354735577,-0.3882174971
-1,0.3514629233,-0.3892980071
-1,0.3074169221,-0.3944629537
-1,0.3506704303,-0.3920213772
-1,0.3943379207,-0.2812759305
-1,0.7445769534,0.4630665494
-1,0.6593673295,-0.0809112678
-1,0.659162288,-0.0810274597
-1,1.0507579472,0.6656003007
-1,1.0727535317,0.6722024251
-1,1.0511125693,0.6656205028
-1,1.0616781794,0.6688574115
-1,0.7309146561,0.6571894987
-1,0.4818747276,-0.409248557
-1,0.4610476443,-0.4422641464
-1,0.4610399935,-0.4422684819
-1,0.8635298722,0.3076016486
-1,0.8659009747,0.3078921196
-1,0.8656041506,0.3078581352
-1,0.8635767334,0.3076282037
-1,0.7438468209,0.2878162991
-1,0.4532536402,-0.4397480776
-1,1.0501642489,0.6708966872
-1,0.7948207552,0.7243940666
-1,0.9256634277,0.3696866874
-1,0.5275161661,-0.3800615863
-1,0.5332585581,-0.3484972901
-1,1.0021140871,0.4639679515
-1,1.0021965245,0.4640146667
-1,1.2002138117,0.8251961839
-1,1.0199646154,0.5570014061
-1,0.9742453861,0.4500860493
-1,1.1611799229,0.8080060441
-1,0.3968638198,-0.3982348437
-1,0.4313779627,-0.296088347
-1,0.9511730016,0.4062949705
-1,0.9402308211,0.4030048477
-1,0.593821758,-0.2367409488
-1,0.5935272291,-0.2367736324
-1,0.5582440247,-0.3404843645
-1,0.5501636095,-0.3434072977
-1,0.5487260151,-0.3435714284
-1,0.5486946468,-0.343589204
-1,0.1956721707,-0.3884595534
-1,0.1981041448,-0.3881551624
-1,0.2075335619,-0.3850717667
-1,0.1961691932,-0.3883998053
-1,0.2396669753,-0.2817572227
-1,0.5663165799,-0.2683419015
-1,0.5700733289,-0.2701163417
